iter	Passed	Remaining
0	141	140935
1	141	70681
2	142	47272
3	142	35540
4	143	28508
5	143	23839
6	144	20502
7	145	17994
8	145	16042
9	146	14480
10	146	13193
11	147	12133
12	147	11223
13	148	10443
14	148	9770
15	149	9177
16	149	8661
17	150	8197
18	150	7780
19	151	7405
20	151	7067
21	152	6761
22	152	6483
23	153	6234
24	153	5999
25	154	5779
26	154	5580
27	155	5393
28	155	5217
29	156	5057
30	156	4907
31	157	4765
32	158	4633
33	158	4511
34	159	4397
35	159	4282
36	160	4175
37	160	4072
38	161	3975
39	161	3883
40	162	3796
41	162	3712
42	163	3634
43	163	3559
44	164	3486
45	164	3419
46	165	3354
47	166	3293
48	166	3231
49	166	3171
50	167	3114
51	167	3061
52	168	3008
53	168	2957
54	169	2910
55	169	2863
56	170	2818
57	170	2774
58	171	2731
59	171	2693
60	172	2655
61	173	2618
62	173	2583
63	174	2549
64	174	2514
65	175	2481
66	175	2448
67	176	2413
68	176	2381
69	176	2351
70	177	2322
71	178	2296
72	178	2268
73	179	2241
74	179	2215
75	180	2198
76	181	2172
77	181	2147
78	182	2123
79	182	2099
80	183	2076
81	183	2054
82	183	2032
83	184	2010
84	184	1988
85	185	1967
86	185	1946
87	186	1928
88	186	1909
89	187	1891
90	187	1873
91	188	1856
92	188	1838
93	188	1821
94	189	1804
95	189	1788
96	190	1771
97	190	1756
98	191	1741
99	191	1726
100	192	1711
101	192	1694
102	192	1680
103	193	1666
104	193	1652
105	194	1639
106	194	1626
107	195	1613
108	195	1601
109	196	1589
110	196	1576
111	197	1564
112	197	1552
113	198	1541
114	198	1530
115	199	1518
116	199	1506
117	200	1496
118	200	1485
119	201	1474
120	201	1464
121	202	1454
122	202	1443
123	203	1434
124	203	1424
125	204	1415
126	204	1405
127	204	1395
128	205	1386
129	205	1377
130	206	1368
131	206	1359
132	207	1350
133	207	1342
134	208	1334
135	208	1326
136	209	1318
137	209	1309
138	210	1302
139	210	1294
140	211	1286
141	211	1278
142	212	1271
143	212	1264
144	213	1256
145	213	1249
146	213	1241
147	214	1234
148	214	1226
149	215	1219
150	215	1213
151	216	1207
152	216	1200
153	217	1193
154	217	1187
155	218	1180
156	218	1173
157	219	1167
158	219	1160
159	219	1154
160	220	1148
161	220	1141
162	221	1135
163	221	1129
164	221	1122
165	222	1116
166	222	1110
167	223	1104
168	223	1099
169	223	1093
170	224	1087
171	224	1081
172	225	1076
173	225	1071
174	226	1066
175	226	1061
176	227	1055
177	227	1050
178	227	1044
179	228	1039
180	228	1033
181	228	1028
182	229	1023
183	229	1018
184	229	1013
185	230	1008
186	230	1003
187	231	999
188	231	995
189	232	991
190	232	986
191	233	981
192	233	977
193	234	972
194	234	968
195	235	964
196	235	960
197	235	955
198	236	951
199	236	946
200	237	942
201	237	938
202	237	934
203	238	929
204	238	925
205	239	921
206	239	917
207	240	913
208	240	909
209	240	906
210	241	902
211	241	898
212	242	894
213	242	891
214	243	887
215	243	883
216	244	880
217	244	876
218	244	873
219	245	870
220	246	867
221	246	864
222	247	861
223	247	858
224	248	855
225	248	851
226	249	848
227	249	845
228	250	842
229	250	839
230	251	836
231	251	833
232	252	830
233	252	827
234	253	823
235	253	820
236	253	817
237	254	814
238	254	811
239	255	808
240	255	804
241	255	801
242	256	798
243	256	795
244	257	792
245	257	789
246	257	786
247	258	783
248	258	780
249	259	777
250	259	774
251	260	771
252	260	769
253	261	766
254	261	764
255	262	762
256	262	759
257	263	757
258	263	754
259	264	751
260	264	749
261	264	746
262	265	743
263	265	741
264	266	739
265	266	736
266	267	734
267	268	732
268	268	729
269	268	726
270	269	724
271	269	721
272	270	719
273	270	716
274	270	714
275	271	711
276	271	709
277	272	706
278	272	704
279	272	701
280	273	699
281	273	697
282	274	695
283	274	692
284	275	690
285	276	689
286	276	687
287	277	684
288	277	682
289	277	680
290	278	678
291	278	675
292	279	673
293	279	671
294	280	669
295	280	667
296	281	665
297	281	663
298	281	660
299	282	658
300	282	656
301	283	654
302	283	652
303	283	650
304	284	648
305	284	645
306	285	643
307	285	641
308	285	639
309	286	637
310	286	635
311	287	633
312	287	631
313	288	629
314	288	627
315	288	625
316	289	623
317	289	621
318	290	619
319	290	617
320	291	616
321	291	614
322	292	612
323	292	610
324	293	608
325	293	606
326	293	605
327	294	603
328	294	601
329	295	599
330	295	597
331	296	595
332	296	594
333	297	592
334	297	590
335	297	588
336	298	587
337	298	585
338	299	583
339	299	581
340	300	580
341	300	578
342	300	576
343	301	574
344	302	573
345	302	571
346	302	570
347	303	568
348	303	566
349	304	565
350	304	563
351	305	562
352	306	560
353	306	559
354	307	557
355	307	556
356	308	554
357	308	553
358	308	551
359	309	550
360	309	548
361	310	547
362	311	545
363	311	544
364	311	542
365	312	541
366	312	539
367	313	538
368	313	536
369	314	534
370	314	533
371	315	531
372	315	530
373	315	528
374	316	527
375	316	525
376	317	524
377	317	522
378	318	521
379	318	519
380	319	518
381	319	517
382	320	515
383	320	514
384	321	513
385	321	511
386	322	510
387	322	508
388	323	507
389	323	506
390	323	504
391	324	503
392	324	501
393	325	500
394	325	498
395	326	497
396	326	495
397	326	494
398	327	492
399	327	491
400	327	489
401	328	488
402	328	486
403	329	485
404	329	484
405	329	482
406	330	481
407	330	479
408	331	478
409	331	476
410	331	475
411	332	474
412	332	472
413	333	471
414	333	470
415	334	469
416	334	468
417	335	466
418	335	465
419	336	464
420	336	463
421	337	461
422	337	460
423	337	459
424	338	457
425	338	456
426	339	455
427	339	453
428	339	452
429	340	451
430	340	449
431	341	448
432	341	447
433	341	445
434	342	444
435	342	443
436	343	442
437	343	440
438	343	439
439	344	438
440	344	437
441	345	435
442	345	434
443	345	433
444	346	432
445	346	430
446	347	429
447	347	428
448	348	427
449	348	426
450	349	424
451	349	423
452	350	422
453	350	421
454	351	420
455	351	419
456	352	418
457	352	417
458	353	416
459	353	415
460	353	413
461	354	412
462	354	411
463	355	410
464	355	409
465	356	407
466	356	406
467	356	405
468	357	404
469	357	403
470	358	402
471	358	400
472	358	399
473	359	398
474	359	397
475	360	396
476	360	395
477	361	394
478	361	393
479	362	392
480	362	391
481	362	390
482	363	388
483	363	387
484	364	386
485	365	386
486	365	385
487	365	383
488	366	382
489	366	381
490	367	380
491	367	379
492	368	378
493	368	377
494	368	376
495	369	375
496	369	374
497	370	373
498	370	372
499	371	371
500	371	369
501	371	368
502	372	367
503	372	366
504	372	365
505	373	364
506	373	363
507	374	362
508	374	361
509	375	360
510	375	359
511	376	358
512	376	357
513	377	356
514	377	355
515	377	354
516	378	353
517	379	352
518	379	351
519	380	350
520	380	350
521	381	349
522	381	348
523	382	347
524	382	346
525	383	345
526	384	344
527	384	343
528	384	342
529	385	341
530	385	340
531	386	339
532	386	338
533	387	337
534	387	336
535	387	335
536	388	334
537	388	333
538	389	332
539	389	331
540	390	331
541	390	330
542	391	329
543	391	328
544	392	327
545	392	326
546	392	325
547	393	324
548	394	324
549	395	323
550	395	322
551	395	321
552	396	320
553	396	319
554	397	318
555	397	317
556	397	316
557	398	315
558	398	314
559	399	313
560	399	312
561	399	311
562	400	310
563	400	309
564	400	308
565	401	307
566	401	306
567	402	305
568	402	305
569	403	304
570	403	303
571	403	302
572	404	301
573	404	300
574	405	299
575	405	298
576	406	297
577	406	296
578	406	295
579	407	294
580	407	293
581	407	292
582	408	292
583	408	291
584	409	290
585	409	289
586	410	288
587	410	287
588	411	286
589	411	286
590	412	285
591	413	284
592	413	284
593	414	283
594	415	282
595	415	281
596	416	280
597	416	280
598	417	279
599	417	278
600	418	277
601	419	277
602	419	276
603	420	275
604	420	274
605	421	274
606	421	273
607	422	272
608	423	271
609	423	270
610	424	270
611	425	269
612	426	268
613	426	268
614	427	267
615	427	266
616	428	265
617	428	264
618	429	264
619	429	263
620	430	262
621	431	261
622	431	261
623	432	260
